t,x1_raw,x1,x2,line_pos,has_line,err,mode,v_cap,kp,ki,kd,base_v,left,right,ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7
0.0,50.0,50.0,92.99342830602247,-0.002765286023423693,1.0,-0.006664139883858817,MF,0.55,0.55,0.0,0.14,0.5,0.5969632353101458,0.40303676468985417,5,17,144,774,776,145,0,4
0.01,59.696323531014585,51.93926470620291,91.07316461437507,-0.005797145605975945,1.0,-0.0024295534406389508,MF,0.55,0.55,0.0,0.14,0.5,0.4420520441872733,0.5579479558127267,1,0,133,762,733,135,0,0
0.02,55.79479558127267,52.71037088121686,94.93129753784311,0.0025125697143287403,1.0,0.0031608854021344867,MF,0.55,0.55,0.0,0.14,0.5,0.4199953692299979,0.5800046307700021,0,0,138,781,783,151,0,0
0.03,58.000463077000205,53.76838932037353,90.7965867755412,0.04757071241756136,1.0,0.04167345591953823,MF,0.55,0.55,0.0,0.14,0.5,-0.06209638799939854,1.0,0,0,95,628,847,191,0,1
0.04,100.0,63.014711456298826,93.47693315999082,0.017429210341821495,1.0,0.024732794080461775,MF,0.55,0.55,0.0,0.14,0.5,0.7235662290028164,0.2764337709971836,0,1,110,727,809,175,9,0
0.05,72.35662290028164,64.88309374509538,92.64816793878958,0.009749813703397073,1.0,0.008967195238385881,MF,0.55,0.55,0.0,0.14,0.5,0.7157864264079503,0.2842135735920497,0,9,138,752,782,152,8,7
0.06,71.57864264079504,66.22220352423531,91.04165152430942,0.017154140969915414,1.0,0.018995285034179688,MF,0.55,0.55,0.0,0.14,0.5,0.34915933609008787,0.6508406639099121,0,0,126,725,790,170,9,0
0.07,65.08406639099121,65.99457609758649,92.72279121101683,0.0550035528999413,1.0,0.05451127461024693,MF,0.55,0.55,0.0,0.14,0.5,-0.027205055100577247,1.0,0,14,63,639,876,221,11,0
0.08,100.0,72.79566087806919,91.56065622432497,0.03471368528419629,1.0,0.03301552363804409,HF,0.75,0.4,0.0,0.18,0.5,0.8737173080444335,0.12628269195556652,11,0,95,672,837,191,3,4
0.09,87.37173080444335,75.71087486334402,92.19415509869609,0.05021961919284951,1.0,0.05358130591256278,HF,0.75,0.4,0.0,0.18,0.5,0.1083833966936385,0.8916166033063615,0,0,85,629,865,217,9,0
0.1,89.16166033063615,78.40103195680244,89.16925851589917,0.025649436869898637,1.0,0.028829097747802734,HF,0.75,0.4,0.0,0.18,0.5,0.9340081078665596,0.06599189213344031,0,0,106,683,806,171,8,0
0.11,93.40081078665597,81.40098772277315,88.16245756940192,0.03668180873721233,1.0,0.03314154488699777,HF,0.75,0.4,0.0,0.18,0.5,0.40911933353969027,0.5908806664603097,0,22,94,648,802,175,16,6
0.12,59.08806664603097,76.93840350742472,93.58206389408609,0.022102107034966085,1.0,0.013335364205496652,HF,0.75,0.4,0.0,0.18,0.5,0.8511771065848215,0.14882289341517851,11,0,122,740,815,169,7,0
0.13,85.11771065848215,78.57426493763622,88.89867313786773,0.04466095966627061,1.0,0.04518120629446847,HF,0.75,0.4,0.0,0.18,0.5,-0.09129764011928021,1.0,0,6,82,644,816,195,15,0
0.14,100.0,82.85941195010898,92.45491986920825,0.07234867135942996,1.0,0.07040704999651227,HF,0.75,0.4,0.0,0.18,0.5,0.017771993364606664,0.9822280066353933,0,3,72,592,888,244,17,2
0.15,98.22280066353933,85.93208969279505,92.50098570069176,0.05596152848217762,1.0,0.056069646562848775,HF,0.75,0.4,0.0,0.18,0.5,0.7356454031808035,0.26435459681919654,0,3,86,623,890,229,1,5
0.16,73.56454031808035,83.45857981785211,90.05063665954536,0.06750616900040458,1.0,0.06284454890659877,HF,0.75,0.4,0.0,0.18,0.5,0.3529139382498606,0.6470860617501394,9,0,80,586,875,254,10,0
0.17,64.70860617501394,79.70858508928448,90.22097114074896,0.03808006459848476,1.0,0.04871736254010882,HF,0.75,0.4,0.0,0.18,0.5,0.7348024095807756,0.2651975904192244,0,5,99,664,824,202,6,21
0.18,73.48024095807756,78.4629162630431,93.25133469553002,0.03977970304841718,1.0,0.03552041734967913,HF,0.75,0.4,0.0,0.18,0.5,0.7233368464878627,0.27666315351213727,0,6,97,681,858,199,1,0
0.19,72.33368464878626,77.23706994019173,91.10697009586596,0.07646731770556858,1.0,0.07572385243007115,HF,0.75,0.4,0.0,0.18,0.5,-0.25395137241908494,1.0,1,0,68,570,883,260,14,0
0.2,100.0,81.78965595215338,92.71557472069657,0.07285674994942783,1.0,0.08562244687761579,HF,0.75,0.4,0.0,0.18,0.5,0.28757632119315024,0.7124236788068498,8,10,59,578,905,260,17,30
0.21,71.24236788068498,79.6801983378597,93.14178102138634,0.08653486796669765,1.0,0.07838112967354911,HF,0.75,0.4,0.0,0.18,0.5,0.5989912578037806,0.40100874219621946,7,6,58,559,915,282,12,0
0.22,59.89912578037806,75.72398382636337,96.62931713334702,0.02853730395843923,1.0,0.025598662240164622,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.43984494890485504,5,0,110,738,864,180,1,5
0.23,100.0,80.57918706109069,90.53926673656572,0.07214340667844615,1.0,0.06803859983171735,HF,0.75,0.4,0.0,0.18,0.5,-0.29113431658063615,1.0,0,0,86,579,863,250,7,6
0.24,100.0,84.46334964887255,90.4149585231346,0.06731997154422407,1.0,0.07035057885306222,HF,0.75,0.4,0.0,0.18,0.5,0.4302441460745676,0.5697558539254324,4,8,63,583,868,234,26,3
0.25,56.97558539254324,78.96579679760669,89.47823209132991,0.08963776087616494,1.0,0.0837935038975307,HF,0.75,0.4,0.0,0.18,0.5,0.2245099476405551,0.7754900523594449,16,9,44,519,899,273,19,6
0.26,77.54900523594449,78.68243848527425,90.14613905684384,0.07161797053356365,1.0,0.07138804027012416,HF,0.75,0.4,0.0,0.18,0.5,0.6947431291852679,0.3052568708147321,0,0,67,563,888,235,9,1
0.27,69.47431291852679,76.84081337192475,94.88254657813224,0.04547836924318413,1.0,0.041568143027169366,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.02013089316231842,9,2,87,676,881,208,10,0
0.28,100.0,81.4726506975398,92.22703469050249,0.08868185636185008,1.0,0.08061000279017858,HF,0.75,0.4,0.0,0.18,0.5,-0.2349974768502372,1.0,12,0,76,526,914,290,18,0
0.29,100.0,85.17812055803185,91.58375549928545,0.06667694543152979,1.0,0.06916468484061104,HF,0.75,0.4,0.0,0.18,0.5,0.6783498491559712,0.3216501508440288,0,8,77,589,889,244,18,5
0.3,67.83498491559712,81.7094934295449,90.34200997815586,0.06628303208635108,1.0,0.062311717442103794,HF,0.75,0.4,0.0,0.18,0.5,0.598428726196289,0.40157127380371105,5,6,73,589,880,233,16,0
0.31,59.84287261962889,77.33616926756171,91.56463759354556,0.10026200938578156,1.0,0.09141921997070312,HF,0.75,0.4,0.0,0.18,0.5,-0.06050273350306923,1.0,6,7,62,508,924,305,21,0
0.32,100.0,81.86893541404937,92.19399192998543,0.09083801604536773,1.0,0.0929114477975028,HF,0.75,0.4,0.0,0.18,0.5,0.43597531999860484,0.5640246800013952,0,17,50,526,926,296,22,5
0.33,56.402468000139514,76.7756419312674,91.97550645430617,0.06148552093586847,1.0,0.060436521257672994,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.06037406921386723,0,0,86,610,872,231,14,0
0.34,100.0,81.42051354501392,90.35555920886713,0.08464645625068735,1.0,0.08052539825439453,HF,0.75,0.4,0.0,0.18,0.5,0.10619005475725457,0.8938099452427455,1,0,57,543,880,261,9,0
0.35000000000000003,89.38099452427454,83.01260974086604,92.62181513119602,0.10946764916824957,1.0,0.10775014332362584,HF,0.75,0.4,0.0,0.18,0.5,-0.03314546857561396,1.0,6,0,47,482,936,328,24,0
0.36,100.0,86.41008779269283,93.03869302848234,0.11064846179635685,1.0,0.1082674435206822,HF,0.75,0.4,0.0,0.18,0.5,0.44738161904471274,0.5526183809552873,0,4,52,486,943,335,22,0
0.37,55.261838095528724,80.18043785326,92.04902034851789,0.08983208983362699,1.0,0.08281128747122628,HF,0.75,0.4,0.0,0.18,0.5,0.925086293901716,0.07491370609828396,11,8,75,532,921,289,34,0
0.38,92.5086293901716,82.64607616064232,90.32055631563844,0.06760822844962358,1.0,0.07551813125610352,HF,0.75,0.4,0.0,0.18,0.5,0.6010695593697682,0.39893044063023175,0,0,66,585,874,255,19,0
0.39,60.106955936976824,78.13825211590922,90.20317065730329,0.0890044729183422,1.0,0.08694962092808314,HF,0.75,0.4,0.0,0.18,0.5,0.2594533375331335,0.7405466624668665,0,15,67,525,881,291,15,10
